All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    assembly_01  assembly_02  assembly_03  assembly_04  assembly_05  assembly_06  assembly_07  assembly_08  assembly_09  assembly_10  assembly_11  assembly_12
# contigs (>= 0 bp)         452          489          435          463          470          449          449          416          441          500          459          462        
# contigs (>= 1000 bp)      383          388          376          381          394          367          385          362          374          402          386          389        
# contigs (>= 5000 bp)      307          314          307          312          315          300          311          298          303          313          327          317        
# contigs (>= 10000 bp)     272          275          272          279          283          270          275          270          273          275          295          280        
# contigs (>= 25000 bp)     226          218          219          229          227          221          227          220          220          226          232          227        
# contigs (>= 50000 bp)     176          169          176          176          173          177          185          177          174          183          183          177        
Total length (>= 0 bp)      111539353    107933428    111208722    111400936    109700139    111017159    112714810    108769494    108531449    108260401    104409455    112162202  
Total length (>= 1000 bp)   111492131    107868349    111170437    111346731    109649649    110964982    112674507    108734394    108486833    108196982    104362983    112115021  
Total length (>= 5000 bp)   111299676    107689413    110989476    111177149    109451472    110788049    112497660    108573760    108298119    107975901    104200087    111919258  
Total length (>= 10000 bp)  111043834    107402496    110751008    110940323    109224337    110575768    112241131    108366593    108069586    107691713    103955149    111654974  
Total length (>= 25000 bp)  110221320    106414861    109873167    110071491    108267200    109752079    111416982    107531499    107161649    106877230    102892955    110760183  
Total length (>= 50000 bp)  108416951    104615355    108297724    108104809    106343007    108131231    109874403    106014032    105486198    105333117    101130339    108966507  
# contigs                   445          477          433          461          467          444          446          414          437          491          452          457        
Largest contig              6259940      6079884      6077688      6076035      6075177      6262059      6076799      6081724      6083592      6266247      6087495      6258933    
Total length                111536113    107928903    111208100    111400137    109698808    111015065    112713585    108768499    108530077    108256542    104406416    112160031  
GC (%)                      51.26        50.46        51.14        51.09        50.87        51.03        51.50        50.91        50.73        50.86        50.26        51.09      
N50                         1192887      1159849      1213661      1137406      1224521      1239311      1120981      1179203      1134557      1210654      1061377      1229494    
N90                         230901       244567       208725       217920       215835       221257       235966       237543       243523       216133       203063       221684     
auN                         1847700.9    1815724.5    1827228.3    1897904.1    1946094.5    2086745.6    1709406.8    1792534.7    1714459.6    1995675.3    1794511.8    2042064.1  
L50                         25           24           25           25           22           21           28           24           27           23           25           22         
L90                         107          104          106          109          105          104          112          105          109          108          113          106        
# N's per 100 kbp           0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00       
