All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90     auN        L50  L90  # N's per 100 kbp
assembly_01  452                  383                     307                     272                      226                      176                      111539353               111492131                  111299676                  111043834                   110221320                   108416951                   445        6259940         111536113     51.26   1192887  230901  1847700.9  25   107  0.00             
assembly_02  489                  388                     314                     275                      218                      169                      107933428               107868349                  107689413                  107402496                   106414861                   104615355                   477        6079884         107928903     50.46   1159849  244567  1815724.5  24   104  0.00             
assembly_03  435                  376                     307                     272                      219                      176                      111208722               111170437                  110989476                  110751008                   109873167                   108297724                   433        6077688         111208100     51.14   1213661  208725  1827228.3  25   106  0.00             
assembly_04  463                  381                     312                     279                      229                      176                      111400936               111346731                  111177149                  110940323                   110071491                   108104809                   461        6076035         111400137     51.09   1137406  217920  1897904.1  25   109  0.00             
assembly_05  470                  394                     315                     283                      227                      173                      109700139               109649649                  109451472                  109224337                   108267200                   106343007                   467        6075177         109698808     50.87   1224521  215835  1946094.5  22   105  0.00             
assembly_06  449                  367                     300                     270                      221                      177                      111017159               110964982                  110788049                  110575768                   109752079                   108131231                   444        6262059         111015065     51.03   1239311  221257  2086745.6  21   104  0.00             
assembly_07  449                  385                     311                     275                      227                      185                      112714810               112674507                  112497660                  112241131                   111416982                   109874403                   446        6076799         112713585     51.50   1120981  235966  1709406.8  28   112  0.00             
assembly_08  416                  362                     298                     270                      220                      177                      108769494               108734394                  108573760                  108366593                   107531499                   106014032                   414        6081724         108768499     50.91   1179203  237543  1792534.7  24   105  0.00             
assembly_09  441                  374                     303                     273                      220                      174                      108531449               108486833                  108298119                  108069586                   107161649                   105486198                   437        6083592         108530077     50.73   1134557  243523  1714459.6  27   109  0.00             
assembly_10  500                  402                     313                     275                      226                      183                      108260401               108196982                  107975901                  107691713                   106877230                   105333117                   491        6266247         108256542     50.86   1210654  216133  1995675.3  23   108  0.00             
assembly_11  459                  386                     327                     295                      232                      183                      104409455               104362983                  104200087                  103955149                   102892955                   101130339                   452        6087495         104406416     50.26   1061377  203063  1794511.8  25   113  0.00             
assembly_12  462                  389                     317                     280                      227                      177                      112162202               112115021                  111919258                  111654974                   110760183                   108966507                   457        6258933         112160031     51.09   1229494  221684  2042064.1  22   106  0.00             
