Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
assembly_01	431	384	308	284	244	189	84798887	84766045	84551283	84378223	83693115	81648098	431	3131556	84798887	48.22	695989	150902	883181.6	37	132	0.00
assembly_02	423	387	305	274	223	178	85680655	85656384	85448623	85232345	84362542	82703311	423	3131578	85680655	48.56	750466	171748	876545.3	36	126	0.00
assembly_03	401	366	301	272	233	178	82591422	82567456	82396456	82189114	81494471	79439174	399	3324286	82590514	48.27	715409	154718	974730.4	33	124	0.00
assembly_04	429	393	321	288	240	183	83468570	83444188	83255881	83019339	82190716	80071650	428	3132329	83468357	47.78	664347	146376	823601.5	39	132	0.00
assembly_05	409	382	316	288	236	179	80567502	80548820	80353183	80144719	79254281	77167526	407	3132326	80566654	47.60	664613	140539	845195.6	36	128	0.00
assembly_06	418	378	299	270	236	185	86134519	86108734	85904399	85697325	85052012	83213857	415	3111946	86133274	48.26	728356	157705	962963.0	33	124	0.00
assembly_07	387	354	299	275	230	174	83695670	83672170	83513358	83349544	82503375	80448459	387	3290533	83695670	48.25	742828	158581	1076482.6	31	120	0.00
assembly_08	398	365	286	260	219	166	81671640	81649710	81436426	81255792	80519553	78518031	394	3362809	81669682	48.27	723954	171857	1025880.5	32	116	0.00
assembly_09	391	369	310	278	234	182	84773255	84758140	84596509	84359923	83591449	81649732	390	3116654	84772765	48.03	685832	152173	879012.1	36	128	0.00
assembly_10	399	370	298	271	231	184	83703510	83684591	83496070	83297015	82614618	80916316	398	3122521	83703055	47.95	647247	168135	848716.4	37	129	0.00
assembly_11	410	373	309	275	231	181	82901298	82877916	82692624	82452472	81665824	79822527	408	3120861	82900386	47.76	707027	162106	869333.5	36	128	0.00
assembly_12	412	381	303	281	238	189	84437165	84415684	84199062	84045198	83279251	81411603	412	3115456	84437165	48.10	690725	139693	921444.8	35	130	0.00
