All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    assembly_01  assembly_02  assembly_03  assembly_04  assembly_05  assembly_06  assembly_07  assembly_08  assembly_09  assembly_10  assembly_11  assembly_12
# contigs (>= 0 bp)         431          423          401          429          409          418          387          398          391          399          410          412        
# contigs (>= 1000 bp)      384          387          366          393          382          378          354          365          369          370          373          381        
# contigs (>= 5000 bp)      308          305          301          321          316          299          299          286          310          298          309          303        
# contigs (>= 10000 bp)     284          274          272          288          288          270          275          260          278          271          275          281        
# contigs (>= 25000 bp)     244          223          233          240          236          236          230          219          234          231          231          238        
# contigs (>= 50000 bp)     189          178          178          183          179          185          174          166          182          184          181          189        
Total length (>= 0 bp)      84798887     85680655     82591422     83468570     80567502     86134519     83695670     81671640     84773255     83703510     82901298     84437165   
Total length (>= 1000 bp)   84766045     85656384     82567456     83444188     80548820     86108734     83672170     81649710     84758140     83684591     82877916     84415684   
Total length (>= 5000 bp)   84551283     85448623     82396456     83255881     80353183     85904399     83513358     81436426     84596509     83496070     82692624     84199062   
Total length (>= 10000 bp)  84378223     85232345     82189114     83019339     80144719     85697325     83349544     81255792     84359923     83297015     82452472     84045198   
Total length (>= 25000 bp)  83693115     84362542     81494471     82190716     79254281     85052012     82503375     80519553     83591449     82614618     81665824     83279251   
Total length (>= 50000 bp)  81648098     82703311     79439174     80071650     77167526     83213857     80448459     78518031     81649732     80916316     79822527     81411603   
# contigs                   431          423          399          428          407          415          387          394          390          398          408          412        
Largest contig              3131556      3131578      3324286      3132329      3132326      3111946      3290533      3362809      3116654      3122521      3120861      3115456    
Total length                84798887     85680655     82590514     83468357     80566654     86133274     83695670     81669682     84772765     83703055     82900386     84437165   
GC (%)                      48.22        48.56        48.27        47.78        47.60        48.26        48.25        48.27        48.03        47.95        47.76        48.10      
N50                         695989       750466       715409       664347       664613       728356       742828       723954       685832       647247       707027       690725     
N90                         150902       171748       154718       146376       140539       157705       158581       171857       152173       168135       162106       139693     
auN                         883181.6     876545.3     974730.4     823601.5     845195.6     962963.0     1076482.6    1025880.5    879012.1     848716.4     869333.5     921444.8   
L50                         37           36           33           39           36           33           31           32           36           37           36           35         
L90                         132          126          124          132          128          124          120          116          128          129          128          130        
# N's per 100 kbp           0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00       
